Date,Year,Month,Quarter,Region,Country,Facility_ID,Facility_Name,Facility_Type,Scope,Category,Emissions_MT_CO2e,Prev_Year_Emissions,Target_Emissions,Baseline_2018,Energy_Source,Production_Volume_L,Carbon_Intensity_kg_per_L
2020-03-01,2020,Mar,Q1,Asia Pacific,China,APAC-001,Shanghai Plant,Manufacturing,Scope 1,Stationary Combustion,51000,54000,47000,60000,Coal,118000000,0.432
2020-03-01,2020,Mar,Q1,Asia Pacific,China,APAC-001,Shanghai Plant,Manufacturing,Scope 2,Purchased Electricity,47000,51000,43000,58000,Grid,118000000,0.398
2021-01-01,2021,Jan,Q1,North America,United States,NAM-001,Chicago Plant,Manufacturing,Scope 1,Stationary Combustion,42000,45000,40000,52000,Natural Gas,96000000,0.438
2021-01-01,2021,Jan,Q1,North America,United States,NAM-001,Chicago Plant,Manufacturing,Scope 2,Purchased Electricity,29000,32000,28000,38000,Grid,96000000,0.302
2021-01-01,2021,Jan,Q1,North America,United States,NAM-002,Dallas Distribution,Distribution,Scope 1,Mobile Combustion,11000,12000,10500,15000,Diesel,46000000,0.239
2021-01-01,2021,Jan,Q1,North America,United States,NAM-002,Dallas Distribution,Distribution,Scope 2,Purchased Electricity,7800,8500,7500,10000,Grid,46000000,0.170
2021-01-01,2021,Jan,Q1,Europe,Germany,EUR-001,Munich Plant,Manufacturing,Scope 1,Stationary Combustion,20000,22000,19000,28000,Natural Gas,69000000,0.290
2021-01-01,2021,Jan,Q1,Europe,Germany,EUR-001,Munich Plant,Manufacturing,Scope 2,Purchased Electricity,10500,12000,10000,16000,Renewable,69000000,0.152
2021-01-01,2021,Jan,Q1,Asia Pacific,China,APAC-001,Shanghai Plant,Manufacturing,Scope 1,Stationary Combustion,48000,52000,45000,60000,Coal,122000000,0.393
2021-01-01,2021,Jan,Q1,Asia Pacific,China,APAC-001,Shanghai Plant,Manufacturing,Scope 2,Purchased Electricity,44000,48000,41000,58000,Grid,122000000,0.361
2021-01-01,2021,Jan,Q1,Latin America,Brazil,LATAM-001,Sao Paulo Plant,Manufacturing,Scope 1,Stationary Combustion,23000,25000,22000,30000,Natural Gas,80000000,0.288
2021-01-01,2021,Jan,Q1,Latin America,Brazil,LATAM-001,Sao Paulo Plant,Manufacturing,Scope 2,Purchased Electricity,7000,8000,6500,12000,Hydro,80000000,0.088
2022-01-01,2022,Jan,Q1,North America,United States,NAM-001,Chicago Plant,Manufacturing,Scope 1,Stationary Combustion,39000,42000,38000,52000,Natural Gas,98000000,0.398
2022-01-01,2022,Jan,Q1,North America,United States,NAM-001,Chicago Plant,Manufacturing,Scope 2,Purchased Electricity,26000,29000,25000,38000,Grid,98000000,0.265
2022-01-01,2022,Jan,Q1,North America,United States,NAM-002,Dallas Distribution,Distribution,Scope 1,Mobile Combustion,10000,11000,9500,15000,Diesel,47000000,0.213
2022-01-01,2022,Jan,Q1,North America,United States,NAM-002,Dallas Distribution,Distribution,Scope 2,Purchased Electricity,7200,7800,7000,10000,Grid,47000000,0.153
2022-01-01,2022,Jan,Q1,Europe,Germany,EUR-001,Munich Plant,Manufacturing,Scope 1,Stationary Combustion,18000,20000,17500,28000,Natural Gas,70000000,0.257
2022-01-01,2022,Jan,Q1,Europe,Germany,EUR-001,Munich Plant,Manufacturing,Scope 2,Purchased Electricity,9000,10500,8500,16000,Renewable,70000000,0.129
2022-01-01,2022,Jan,Q1,Asia Pacific,China,APAC-001,Shanghai Plant,Manufacturing,Scope 1,Stationary Combustion,44000,48000,42000,60000,Coal,125000000,0.352
2022-01-01,2022,Jan,Q1,Asia Pacific,China,APAC-001,Shanghai Plant,Manufacturing,Scope 2,Purchased Electricity,40000,44000,38000,58000,Grid,125000000,0.320
2022-01-01,2022,Jan,Q1,Latin America,Brazil,LATAM-001,Sao Paulo Plant,Manufacturing,Scope 1,Stationary Combustion,21000,23000,20000,30000,Natural Gas,82000000,0.256
2022-01-01,2022,Jan,Q1,Latin America,Brazil,LATAM-001,Sao Paulo Plant,Manufacturing,Scope 2,Purchased Electricity,6000,7000,5500,12000,Hydro,82000000,0.073
2023-01-01,2023,Jan,Q1,North America,United States,NAM-001,Chicago Plant,Manufacturing,Scope 1,Stationary Combustion,36000,39000,35000,52000,Natural Gas,100000000,0.360
2023-01-01,2023,Jan,Q1,North America,United States,NAM-001,Chicago Plant,Manufacturing,Scope 2,Purchased Electricity,23000,26000,22000,38000,Renewable Mix,100000000,0.230
2023-01-01,2023,Jan,Q1,North America,United States,NAM-002,Dallas Distribution,Distribution,Scope 1,Mobile Combustion,9000,10000,8500,15000,Biodiesel,48000000,0.188
2023-01-01,2023,Jan,Q1,North America,United States,NAM-002,Dallas Distribution,Distribution,Scope 2,Purchased Electricity,6500,7200,6000,10000,Grid,48000000,0.135
2023-01-01,2023,Jan,Q1,Europe,Germany,EUR-001,Munich Plant,Manufacturing,Scope 1,Stationary Combustion,16000,18000,15500,28000,Natural Gas,71000000,0.225
2023-01-01,2023,Jan,Q1,Europe,Germany,EUR-001,Munich Plant,Manufacturing,Scope 2,Purchased Electricity,7500,9000,7000,16000,Renewable,71000000,0.106
2023-01-01,2023,Jan,Q1,Asia Pacific,China,APAC-001,Shanghai Plant,Manufacturing,Scope 1,Stationary Combustion,40000,44000,38000,60000,Natural Gas,128000000,0.313
2023-01-01,2023,Jan,Q1,Asia Pacific,China,APAC-001,Shanghai Plant,Manufacturing,Scope 2,Purchased Electricity,36000,40000,34000,58000,Renewable Mix,128000000,0.281
2023-01-01,2023,Jan,Q1,Latin America,Brazil,LATAM-001,Sao Paulo Plant,Manufacturing,Scope 1,Stationary Combustion,19000,21000,18000,30000,Natural Gas,84000000,0.226
2023-01-01,2023,Jan,Q1,Latin America,Brazil,LATAM-001,Sao Paulo Plant,Manufacturing,Scope 2,Purchased Electricity,5000,6000,4500,12000,Hydro,84000000,0.060
2024-01-01,2024,Jan,Q1,North America,United States,NAM-001,Chicago Plant,Manufacturing,Scope 1,Stationary Combustion,33000,36000,32000,52000,Natural Gas,102000000,0.324
2024-01-01,2024,Jan,Q1,North America,United States,NAM-001,Chicago Plant,Manufacturing,Scope 2,Purchased Electricity,20000,23000,19000,38000,Renewable Mix,102000000,0.196
2024-01-01,2024,Jan,Q1,North America,United States,NAM-002,Dallas Distribution,Distribution,Scope 1,Mobile Combustion,8000,9000,7500,15000,Biodiesel,49000000,0.163
2024-01-01,2024,Jan,Q1,North America,United States,NAM-002,Dallas Distribution,Distribution,Scope 2,Purchased Electricity,5800,6500,5500,10000,Renewable,49000000,0.118
2024-01-01,2024,Jan,Q1,North America,Canada,NAM-003,Toronto Bottling,Bottling,Scope 1,Stationary Combustion,22000,25000,21000,33000,Natural Gas,76000000,0.289
2024-01-01,2024,Jan,Q1,North America,Canada,NAM-003,Toronto Bottling,Bottling,Scope 2,Purchased Electricity,10000,13000,9500,19000,Hydro,76000000,0.132
2024-01-01,2024,Jan,Q1,Europe,Germany,EUR-001,Munich Plant,Manufacturing,Scope 1,Stationary Combustion,14000,16000,13500,28000,Natural Gas,72000000,0.194
2024-01-01,2024,Jan,Q1,Europe,Germany,EUR-001,Munich Plant,Manufacturing,Scope 2,Purchased Electricity,6000,7500,5500,16000,Renewable,72000000,0.083
2024-01-01,2024,Jan,Q1,Europe,United Kingdom,EUR-002,London Distribution,Distribution,Scope 1,Mobile Combustion,6000,7500,5500,11000,Electric/Hybrid,38000000,0.158
2024-01-01,2024,Jan,Q1,Europe,United Kingdom,EUR-002,London Distribution,Distribution,Scope 2,Purchased Electricity,3500,4800,3200,7000,Renewable,38000000,0.092
2024-01-01,2024,Jan,Q1,Europe,France,EUR-003,Paris Bottling,Bottling,Scope 1,Stationary Combustion,14000,16000,13000,23000,Natural Gas,58000000,0.241
2024-01-01,2024,Jan,Q1,Europe,France,EUR-003,Paris Bottling,Bottling,Scope 2,Purchased Electricity,4000,5200,3800,9000,Nuclear,58000000,0.069
2024-01-01,2024,Jan,Q1,Asia Pacific,China,APAC-001,Shanghai Plant,Manufacturing,Scope 1,Stationary Combustion,36000,40000,34000,60000,Natural Gas,130000000,0.277
2024-01-01,2024,Jan,Q1,Asia Pacific,China,APAC-001,Shanghai Plant,Manufacturing,Scope 2,Purchased Electricity,32000,36000,30000,58000,Renewable Mix,130000000,0.246
2024-01-01,2024,Jan,Q1,Asia Pacific,Japan,APAC-002,Tokyo Distribution,Distribution,Scope 1,Mobile Combustion,6500,8000,6000,11500,Electric/Hybrid,45000000,0.144
2024-01-01,2024,Jan,Q1,Asia Pacific,Japan,APAC-002,Tokyo Distribution,Distribution,Scope 2,Purchased Electricity,8000,10000,7500,14000,Renewable Mix,45000000,0.178
2024-01-01,2024,Jan,Q1,Asia Pacific,Australia,APAC-003,Sydney Bottling,Bottling,Scope 1,Stationary Combustion,11000,13500,10500,19000,Natural Gas,52000000,0.212
2024-01-01,2024,Jan,Q1,Asia Pacific,Australia,APAC-003,Sydney Bottling,Bottling,Scope 2,Purchased Electricity,13000,16000,12000,22000,Solar,52000000,0.250
2024-01-01,2024,Jan,Q1,Latin America,Brazil,LATAM-001,Sao Paulo Plant,Manufacturing,Scope 1,Stationary Combustion,17000,19000,16000,30000,Natural Gas,86000000,0.198
2024-01-01,2024,Jan,Q1,Latin America,Brazil,LATAM-001,Sao Paulo Plant,Manufacturing,Scope 2,Purchased Electricity,4000,5000,3800,12000,Hydro,86000000,0.047
2024-01-01,2024,Jan,Q1,Latin America,Mexico,LATAM-002,Mexico City Distribution,Distribution,Scope 1,Mobile Combustion,8000,10000,7500,13500,Biodiesel,40000000,0.200
2024-01-01,2024,Jan,Q1,Latin America,Mexico,LATAM-002,Mexico City Distribution,Distribution,Scope 2,Purchased Electricity,7000,8500,6500,12000,Renewable Mix,40000000,0.175
2024-04-01,2024,Apr,Q2,North America,United States,NAM-001,Chicago Plant,Manufacturing,Scope 1,Stationary Combustion,32500,35500,31500,52000,Natural Gas,103000000,0.316
2024-04-01,2024,Apr,Q2,North America,United States,NAM-001,Chicago Plant,Manufacturing,Scope 2,Purchased Electricity,19500,22500,18500,38000,Renewable Mix,103000000,0.189
2024-04-01,2024,Apr,Q2,Europe,Germany,EUR-001,Munich Plant,Manufacturing,Scope 1,Stationary Combustion,13500,15500,13000,28000,Natural Gas,73000000,0.185
2024-04-01,2024,Apr,Q2,Europe,Germany,EUR-001,Munich Plant,Manufacturing,Scope 2,Purchased Electricity,5500,7000,5000,16000,Renewable,73000000,0.075
2024-04-01,2024,Apr,Q2,Asia Pacific,China,APAC-001,Shanghai Plant,Manufacturing,Scope 1,Stationary Combustion,35000,39000,33000,60000,Natural Gas,132000000,0.265
2024-04-01,2024,Apr,Q2,Asia Pacific,China,APAC-001,Shanghai Plant,Manufacturing,Scope 2,Purchased Electricity,31000,35000,29000,58000,Renewable Mix,132000000,0.235
2024-07-01,2024,Jul,Q3,North America,United States,NAM-001,Chicago Plant,Manufacturing,Scope 1,Stationary Combustion,32000,35000,31000,52000,Natural Gas,104000000,0.308
2024-07-01,2024,Jul,Q3,North America,United States,NAM-001,Chicago Plant,Manufacturing,Scope 2,Purchased Electricity,19000,22000,18000,38000,Renewable Mix,104000000,0.183
2024-07-01,2024,Jul,Q3,Europe,Germany,EUR-001,Munich Plant,Manufacturing,Scope 1,Stationary Combustion,13000,15000,12500,28000,Natural Gas,74000000,0.176
2024-07-01,2024,Jul,Q3,Europe,Germany,EUR-001,Munich Plant,Manufacturing,Scope 2,Purchased Electricity,5000,6500,4500,16000,Renewable,74000000,0.068
2024-07-01,2024,Jul,Q3,Asia Pacific,China,APAC-001,Shanghai Plant,Manufacturing,Scope 1,Stationary Combustion,34000,38000,32000,60000,Natural Gas,134000000,0.254
2024-07-01,2024,Jul,Q3,Asia Pacific,China,APAC-001,Shanghai Plant,Manufacturing,Scope 2,Purchased Electricity,30000,34000,28000,58000,Renewable Mix,134000000,0.224
2024-10-01,2024,Oct,Q4,North America,United States,NAM-001,Chicago Plant,Manufacturing,Scope 1,Stationary Combustion,31500,34500,30500,52000,Natural Gas,105000000,0.300
2024-10-01,2024,Oct,Q4,North America,United States,NAM-001,Chicago Plant,Manufacturing,Scope 2,Purchased Electricity,18500,21500,17500,38000,Renewable Mix,105000000,0.176
2024-10-01,2024,Oct,Q4,Europe,Germany,EUR-001,Munich Plant,Manufacturing,Scope 1,Stationary Combustion,12500,14500,12000,28000,Natural Gas,75000000,0.167
2024-10-01,2024,Oct,Q4,Europe,Germany,EUR-001,Munich Plant,Manufacturing,Scope 2,Purchased Electricity,4500,6000,4000,16000,Renewable,75000000,0.060
2024-10-01,2024,Oct,Q4,Asia Pacific,China,APAC-001,Shanghai Plant,Manufacturing,Scope 1,Stationary Combustion,33000,37000,31000,60000,Natural Gas,136000000,0.243
2024-10-01,2024,Oct,Q4,Asia Pacific,China,APAC-001,Shanghai Plant,Manufacturing,Scope 2,Purchased Electricity,29000,33000,27000,58000,Renewable Mix,136000000,0.213
